Last login: Mon Apr 27 02:08:37 on ttys010
/Users/satyamyadav/Desktop/Personal/ATOM/Run\ ATOM.command ; exit;
satyamyadav@Satyams-MacBook-Air ~ % /Users/satyamyadav/Desktop/Personal/ATOM/Run\ ATOM.command ; exit;
=== ATOM bundle launcher self-test (optional) ===
ok /Users/satyamyadav/Desktop/Personal/ATOM/.venv/bin/python
=== Starting ATOM via bundle launcher — leave this window open ===
2026-04-27 02:09:08 | atom.config            | INFO  | Configuration validated successfully
2026-04-27 02:09:08 | atom.main              | INFO  | ATOM owner binding: Satyam — access control via core/owner_gate.py
2026-04-27 02:09:08 | atom.deployment        | INFO  | Deployment profile: personal
2026-04-27 02:09:08 | atom.state             | INFO  | StateManager initialised -> idle
2026-04-27 02:09:08 | atom.registry          | INFO  | Command registry loaded: 28 commands from config/commands.json
2026-04-27 02:09:08 | atom.main              | INFO  | Command registry: 28 commands loaded
2026-04-27 02:09:08 | atom.memory            | INFO  | Memory loaded: 5 entries, 43 index terms
2026-04-27 02:09:08 | atom.memory            | INFO  | Interactions loaded: 31 entries
2026-04-27 02:09:08 | atom.embedding         | INFO  | Embedding warm-file restored: 87 entries from data/embeddings_warm.npz in 1ms
2026-04-27 02:09:08 | atom.vector_store      | INFO  | Vector store initialized (ChromaDB, backend=chroma, path=data/vector_db, collections=4)
2026-04-27 02:09:08 | atom.memory            | INFO  | Memory engine: semantic vectors enabled
2026-04-27 02:09:08 | atom.memory            | INFO  | Memory engine: embedding batch writer ready (batch_size=4, max_queue=128)
2026-04-27 02:09:08 | atom.memory.batch_writer | INFO  | Embedding batch writer started (batch=4, max_queue=128, drain_idle=0.75s)
2026-04-27 02:09:08 | atom.scheduler         | INFO  | Loaded 0 pending tasks
2026-04-27 02:09:08 | atom.behavior          | INFO  | Loaded 7 behavior entries
2026-04-27 02:09:08 | atom.timeline          | INFO  | Timeline restored (62 events from disk)
2026-04-27 02:09:08 | atom.skills            | INFO  | Skills registry: 31 trigger(s), 9 with chains from config/skills.json (regex cached=True)
